label,x,y,z,category
12,-0.3202962384100323,-0.0792122823835215,0.04361792564619699,pi
13,-1.1277201767101368,1.0085531356569324,-0.5861296122925858,pi
14,-0.3943926974042049,0.15734417011051166,-0.4309705980911118,pi
21,0.4993558921067376,-0.7998368747190661,-2.1935119544390766,special
23,-0.16638255247865918,0.13055261275672686,-0.05249105064196464,pi
24,-0.7970703639745973,0.2930075933626958,-0.3664619955103541,pi
25,-0.3970440358165259,0.02545838538181854,1.225291086394907,ans
31,0.3122217785652748,-0.4748915786865574,-1.7956883936200791,special
32,0.058748130694960696,-0.009665382956780627,-0.06390291624884625,pi
34,-0.4416480505814284,-0.5774185044969893,-0.4161155011987203,pi
35,0.7993240067451832,-0.34320917546813845,0.4943544625803278,ans
36,0.5377633173048056,-0.010879911468266668,0.7722138594479191,ans
41,0.16827590603465986,-0.4963805000092259,-1.8210180322618408,special
42,-0.03696426646498176,0.29743612637633443,0.029067227164124472,pi
43,-0.19143217473492918,0.2877970131487436,0.13510369195373229,pi
45,0.4995176347868271,-1.0517174343977165,1.5705186368538915,ans
46,-0.11626647442907108,-0.4151667931955481,0.541379339139892,ans
52,-0.03703979611966764,0.6574991269019949,-0.4136931463832263,pi
53,-0.07598588994755354,0.5268849590215006,-0.29944583935665603,pi
54,-0.3237345685936005,-0.07737920237670173,-0.3971055476508714,pi
56,1.195990048459917,-0.002937315273026745,1.8326345292659107,ans
63,0.011780930612032498,0.8260520027242154,-0.43182866295166233,pi
64,-0.2249714746626013,0.00407306013400756,-0.1398917157347032,pi
65,0.5679711150175923,0.12403676985605691,2.7640742079347977,ans
