condition,count,mean,std,min,25%,50%,75%,max,sem
Cardinality (no change),14.0,470.57142857142856,23.144078111870254,436.0,456.0,466.0,480.0,516.0,6.185515059096599
Decrease by 1 (Correct),19.0,484.8421052631579,29.71206855040321,436.0,466.0,480.0,512.0,528.0,6.81641601130319
Decrease by 1 (Incorrect),10.0,498.8,19.50954182502045,472.0,486.0,494.0,514.0,528.0,6.169458827338287
Decrease by 2 (Correct),19.0,470.10526315789474,26.878109095284433,420.0,452.0,472.0,484.0,528.0,6.1662611231477
Decrease by 2 (Incorrect),11.0,460.0,34.77930419085465,420.0,436.0,448.0,478.0,528.0,10.48635477006364
Decrease by 3 (Correct),19.0,479.57894736842104,28.717620973645516,432.0,460.0,476.0,502.0,524.0,6.5882740906855215
Decrease by 3 (Incorrect),5.0,479.2,43.57981183988751,420.0,460.0,472.0,520.0,524.0,19.48948434412773
Increase by 1 (Correct),17.0,489.4117647058824,39.19033494295726,420.0,460.0,504.0,524.0,528.0,9.505052380773376
Increase by 1 (Incorrect),9.0,471.1111111111111,31.22676914301432,420.0,448.0,472.0,492.0,528.0,10.408923047671438
Increase by 2 (Correct),18.0,483.1111111111111,29.666556510040035,428.0,464.0,490.0,503.0,528.0,6.992474427567743
Increase by 2 (Incorrect),12.0,472.0,31.17108216979904,420.0,465.0,468.0,479.0,528.0,8.998316340832709
Increase by 3 (Correct),21.0,477.3333333333333,35.13023389238013,420.0,452.0,472.0,508.0,528.0,7.666045523492144
Increase by 3 (Incorrect),13.0,470.7692307692308,30.17215561339584,420.0,452.0,468.0,492.0,524.0,8.36825031964441
